Brand,Model,Ext Color,Car Type,Boot Size,Papers,Kilometres counter,Motorisation,Motor Power,Gearbox type,Price,Age,Kilometres_per_year
Volkswagen,Golf,Noir,Compacte,380,1,84500,Essence,110,Manuelle,2980000,7,12071
Volkswagen,Polo,Blanc,Citadine,280,1,72000,Diesel,105,Automatique,3750000,6,12000
Volkswagen,Tiguan,Gris,SUV,520,0,112000,Diesel,140,Automatique,6850000,4,28000
Kia,Sportage,Noir,SUV,546,1,138000,Diesel,178,Automatique,5870000,6,23000
Dacia,Duster,Bleu,SUV,445,0,156000,GPL,105,Manuelle,2850000,4,39000
Peugeot,308,Gris,Compacte,470,1,58000,Essence,130,Automatique,4950000,3,19333
Citroen,C5 Aircross,Blanc,SUV,550,1,15000,Essence,130,Automatique,5200000,1,15000
Skoda,Octavia,Noir,Berline,600,0,25000,Essence,150,Automatique,7650000,1,25000
Hyundai,i20,Gris,Citadine,326,1,110000,Diesel,75,Manuelle,2650000,5,22000
Renault,Clio,Rouge,Citadine,391,1,88000,Essence,90,Manuelle,3550000,4,22000
Audi,A3,Blanc,Compacte,380,0,68000,Essence,160,Automatique,8950000,2,34000
Mercedes,Classe C,Argent,Berline,455,1,125000,Diesel,170,Automatique,4100000,6,20833
Nissan,Qashqai,Bleu,SUV,430,1,142000,Diesel,150,Manuelle,3450000,5,28400
BMW,Serie 3,Gris,Berline,480,1,189000,Diesel,184,Automatique,3300000,7,27000
Toyota,Corolla,Noir,Compacte,371,1,118000,Essence,140,Automatique,4520000,5,23600
Seat,Ibiza,Blanc,Citadine,355,1,65000,Diesel,105,Manuelle,3200000,6,10833
Opel,Grandland,Noir,SUV,514,1,32000,Essence,165,Automatique,5600000,2,16000
Ford,Fiesta,Rouge,Citadine,292,1,187000,Essence,82,Manuelle,2150000,10,18700
Fiat,500,Bleu,Citadine,185,1,42000,Essence,70,Manuelle,2750000,3,14000
Suzuki,Swift,Gris,Citadine,265,1,31000,Essence,83,Automatique,4450000,1,31000
Volkswagen,Passat,Noir,Berline,586,1,182000,Diesel,140,Manuelle,3400000,9,20222
Kia,Rio,Gris,Citadine,325,1,95000,GPL,100,Automatique,3750000,5,19000
Dacia,Sandero Stepway,Vert,SUV,320,0,115000,Diesel,90,Manuelle,2950000,3,38333
Peugeot,208,Blanc,Citadine,311,1,132000,Essence,92,Manuelle,3150000,7,18857
